course_id,title,description,category,difficulty,tags,duration_hours,instructor,rating_avg
C001,Python Fundamentals,"Master the basics of Python programming including variables, data types, control flow, functions, and object-oriented programming. Build real-world projects from scratch.",Python Programming,Advanced,"scripting, backend",10.7,Raj Patel,4.3
C002,Advanced Python Patterns,"Deep dive into Python design patterns, decorators, generators, context managers, metaclasses, and concurrency with asyncio.",Python Programming,Advanced,"programming, oop",10.0,Prof. Rachel Green,3.9
C003,Python for Automation,"Learn to automate repetitive tasks using Python scripts, file handling, web scraping with BeautifulSoup, and task scheduling.",Python Programming,Beginner,"programming, backend",4.3,David Kim,4.4
C004,Python Data Structures,"Comprehensive guide to lists, dictionaries, sets, tuples, stacks, queues, linked lists, trees, and graphs in Python.",Python Programming,Beginner,"scripting, oop, automation",45.8,Prof. Rachel Green,4.9
C005,Python Testing Masterclass,"Write robust code with pytest, unittest, mocking, test-driven development, and continuous integration pipelines.",Python Programming,Beginner,"oop, automation, programming, python",61.2,Dr. Lisa Wang,3.9
C006,Python API Development,"Build RESTful APIs from scratch using Flask and FastAPI, including authentication, database integration, and deployment.",Python Programming,Beginner,"python, oop",76.7,Chris Johnson,3.9
C007,Python GUI Applications,"Create desktop applications using Tkinter, PyQt5, and Kivy with event-driven programming and modern UI design.",Python Programming,Beginner,"automation, python, oop, backend",30.0,Prof. Aisha Mohammed,4.9
C008,Python Scripting for SysAdmins,"System administration automation with Python: managing servers, parsing logs, monitoring resources, and network scripting.",Python Programming,Beginner,"programming, automation",77.9,Dr. Robert Lee,4.5
C009,Pythonic Code Workshop,"Write clean, idiomatic Python: list comprehensions, walrus operator, type hints, f-strings, and PEP 8 best practices.",Python Programming,Advanced,"scripting, python, programming, automation",50.2,Prof. Aisha Mohammed,3.7
C010,Python Packaging and Distribution,"Learn to structure, package, and distribute Python libraries using setuptools, poetry, and PyPI publishing.",Python Programming,Beginner,"python, oop",62.3,Alex Rodriguez,4.3
C011,Data Science with Python,"End-to-end data science workflow: data collection, cleaning, exploratory data analysis, visualization with matplotlib and seaborn, and storytelling with data.",Data Science,Intermediate,"statistics, numpy",37.4,Prof. Aisha Mohammed,3.7
C012,Statistical Analysis Fundamentals,"Probability theory, hypothesis testing, confidence intervals, ANOVA, regression analysis, and Bayesian statistics for data-driven decisions.",Data Science,Beginner,"numpy, analytics, pandas, data-science",54.3,Alex Rodriguez,3.7
C013,Data Visualization Mastery,"Create stunning charts and dashboards using matplotlib, seaborn, plotly, and Tableau. Master the art of visual storytelling.",Data Science,Intermediate,"numpy, statistics",31.6,Prof. Rachel Green,4.1
C014,Pandas for Data Analysis,"Master pandas DataFrames: indexing, merging, groupby, pivot tables, time series operations, and performance optimization.",Data Science,Beginner,"visualization, statistics, data-science",19.9,Prof. James Miller,2.9
C015,Exploratory Data Analysis,"Techniques for understanding datasets: distribution analysis, outlier detection, correlation matrices, feature relationships, and pattern discovery.",Data Science,Beginner,"statistics, analytics, visualization, pandas",73.2,Dr. Ahmed Hassan,3.0
C016,Big Data Analytics,"Process massive datasets using PySpark, Dask, and distributed computing frameworks for scalable data analysis.",Data Science,Advanced,"analytics, pandas",37.8,Raj Patel,3.7
C017,Data Wrangling Bootcamp,"Transform messy real-world data into clean, analysis-ready datasets using advanced pandas, regex, and ETL pipelines.",Data Science,Advanced,"pandas, visualization, statistics",22.5,Dr. Ahmed Hassan,3.4
C018,Time Series Analysis,"Forecast trends using ARIMA, Prophet, exponential smoothing, and deep learning for sequential data patterns.",Data Science,Beginner,"visualization, data-science, pandas, numpy",79.8,Michael O'Brien,4.2
C019,A/B Testing for Business,"Design and analyze experiments, calculate sample sizes, interpret p-values, and make data-driven product decisions.",Data Science,Beginner,"data-science, visualization, pandas, statistics",50.9,Sophia Martinez,3.5
C020,SQL for Data Scientists,"Advanced SQL queries, window functions, CTEs, query optimization, and integrating SQL with Python analytics workflows.",Data Science,Intermediate,"numpy, data-science",43.3,Prof. Rachel Green,3.2
C021,Machine Learning Fundamentals,"Core ML concepts: supervised and unsupervised learning, regression, classification, clustering, model evaluation, and cross-validation.",Machine Learning,Advanced,"neural-networks, machine-learning, pytorch, deep-learning",71.0,Raj Patel,4.9
C022,Deep Learning with TensorFlow,"Build neural networks from scratch: CNNs, RNNs, transformers, transfer learning, and model deployment with TensorFlow and Keras.",Machine Learning,Beginner,"deep-learning, tensorflow, machine-learning, neural-networks",37.4,Raj Patel,3.9
C023,Natural Language Processing,"Text analysis pipeline: tokenization, word embeddings, sentiment analysis, named entity recognition, and text generation with transformers.",Machine Learning,Intermediate,"deep-learning, pytorch, neural-networks, machine-learning",67.7,Dr. Kevin Zhang,4.0
C024,Computer Vision Essentials,"Image classification, object detection, image segmentation, GANs, and real-time vision applications using OpenCV and PyTorch.",Machine Learning,Advanced,"tensorflow, neural-networks",76.4,Dr. Kevin Zhang,3.1
C025,Recommender Systems,"Build recommendation engines using collaborative filtering, content-based filtering, matrix factorization, and hybrid approaches.",Machine Learning,Intermediate,"deep-learning, machine-learning, pytorch",3.5,Prof. Aisha Mohammed,3.7
C026,Feature Engineering Mastery,"Transform raw data into powerful features: encoding, scaling, feature selection, dimensionality reduction, and domain-specific techniques.",Machine Learning,Advanced,"ai, machine-learning, deep-learning, tensorflow",75.9,Alex Rodriguez,4.1
C027,ML Model Deployment,"Production-ready ML: model serialization, Docker containers, REST APIs, monitoring, A/B testing, and MLOps best practices.",Machine Learning,Advanced,"neural-networks, tensorflow",39.1,Prof. Rachel Green,3.3
C028,Ensemble Methods,"Boost prediction accuracy with random forests, gradient boosting, XGBoost, LightGBM, stacking, and blending techniques.",Machine Learning,Advanced,"pytorch, deep-learning, neural-networks, tensorflow",35.0,David Kim,4.2
C029,Reinforcement Learning,"Train agents to make decisions: Q-learning, policy gradients, deep Q-networks, and applications in robotics and gaming.",Machine Learning,Advanced,"ai, machine-learning, deep-learning, tensorflow",52.7,Dr. Thomas Brown,3.6
C030,AutoML and Hyperparameter Tuning,"Automated machine learning pipelines, grid search, random search, Bayesian optimization, and neural architecture search.",Machine Learning,Beginner,"deep-learning, tensorflow, pytorch, machine-learning",28.4,Dr. Ahmed Hassan,3.8
C031,Full-Stack Web Development,"Build complete web applications from frontend to backend: HTML5, CSS3, JavaScript, React, Node.js, and database integration.",Web Development,Beginner,"frontend, web",57.2,Prof. James Miller,3.6
C032,React.js Masterclass,"Modern React development: hooks, context API, Redux, server-side rendering, and building performant single-page applications.",Web Development,Intermediate,"nodejs, frontend, html",7.5,Prof. Emily Turner,5.0
C033,Backend Development with Node.js,"Server-side JavaScript: Express.js, REST APIs, GraphQL, authentication, middleware, and database connectivity.",Web Development,Beginner,"nodejs, frontend, javascript, css",58.4,Dr. Ahmed Hassan,4.0
C034,CSS and Modern Layouts,"Advanced CSS: Flexbox, Grid, animations, custom properties, responsive design, and CSS architecture methodologies.",Web Development,Beginner,"react, javascript, nodejs",9.4,Sophia Martinez,3.4
C035,JavaScript ES6+ Deep Dive,"Modern JavaScript features: arrow functions, destructuring, promises, async/await, modules, proxies, and iterators.",Web Development,Advanced,"react, css",6.2,Dr. Priya Sharma,4.5
C036,Django Web Framework,"Rapid web development with Django: ORM, templates, forms, authentication, admin panel, and REST framework.",Web Development,Intermediate,"javascript, frontend",64.4,Dr. Priya Sharma,3.3
C037,Progressive Web Apps,"Build offline-capable web apps: service workers, push notifications, app manifests, and performance optimization strategies.",Web Development,Advanced,"html, javascript",37.0,Sophia Martinez,4.1
C038,TypeScript for Professionals,"Type-safe JavaScript development: interfaces, generics, decorators, utility types, and migrating existing JavaScript projects.",Web Development,Beginner,"frontend, web, css",70.2,Alex Rodriguez,2.8
C039,Web Performance Optimization,"Speed up websites: lazy loading, code splitting, caching strategies, CDN setup, and Core Web Vitals optimization.",Web Development,Advanced,"backend, javascript",67.2,Alex Rodriguez,3.2
C040,GraphQL API Design,"Design and implement GraphQL APIs: schemas, resolvers, mutations, subscriptions, and client-side integration with Apollo.",Web Development,Intermediate,"backend, javascript",39.5,Dr. Robert Lee,4.1
C041,AWS Cloud Practitioner,"Amazon Web Services fundamentals: EC2, S3, Lambda, RDS, IAM, VPC, and cloud architecture best practices.",Cloud Computing,Beginner,"gcp, azure, serverless",78.9,Raj Patel,4.4
C042,Google Cloud Platform Essentials,"GCP core services: Compute Engine, Cloud Storage, BigQuery, Cloud Functions, and Kubernetes Engine.",Cloud Computing,Beginner,"serverless, infrastructure",16.8,David Kim,4.1
C043,Microsoft Azure Fundamentals,"Azure cloud services: Virtual Machines, Blob Storage, Azure Functions, Cosmos DB, and Active Directory.",Cloud Computing,Beginner,"serverless, azure",60.3,Prof. James Miller,3.9
C044,Cloud Architecture Design,"Design scalable, resilient cloud solutions: microservices patterns, load balancing, auto-scaling, and disaster recovery.",Cloud Computing,Advanced,"cloud, serverless",73.7,Dr. Kevin Zhang,3.8
C045,Serverless Computing,"Build applications without managing servers: AWS Lambda, Azure Functions, Google Cloud Functions, and serverless frameworks.",Cloud Computing,Beginner,"cloud, aws, azure, infrastructure",68.4,Alex Rodriguez,3.1
C046,Multi-Cloud Strategy,"Deploy across multiple cloud providers: portability, vendor lock-in avoidance, Terraform, and multi-cloud networking.",Cloud Computing,Advanced,"serverless, cloud",21.2,Laura Wilson,3.6
C047,Cloud Cost Optimization,"Reduce cloud spending: right-sizing instances, reserved capacity planning, spot instances, and cost monitoring tools.",Cloud Computing,Intermediate,"gcp, infrastructure, aws, serverless",53.3,Dr. Ahmed Hassan,3.7
C048,Cloud Migration Strategies,"Migrate on-premises workloads to cloud: assessment, planning, lift-and-shift, re-platforming, and re-architecting.",Cloud Computing,Advanced,"aws, gcp, azure",26.5,Raj Patel,4.6
C049,Kubernetes in Production,"Container orchestration mastery: deployments, services, ingress, helm charts, monitoring, and security hardening.",Cloud Computing,Intermediate,"azure, serverless",74.5,Alex Rodriguez,4.2
C050,Cloud Security Fundamentals,"Secure cloud environments: identity management, encryption, compliance frameworks, and security monitoring.",Cloud Computing,Advanced,"aws, serverless, gcp, cloud",79.7,Alex Rodriguez,2.9
C051,DevOps Engineering,"CI/CD pipelines, infrastructure as code, containerization, monitoring, and DevOps culture transformation.",DevOps,Intermediate,"docker, ci-cd, kubernetes",70.7,Prof. Emily Turner,4.2
C052,Docker Containerization,"Container fundamentals: Dockerfiles, images, volumes, networking, Docker Compose, and multi-stage builds.",DevOps,Advanced,"automation, devops, docker, kubernetes",56.9,Laura Wilson,3.8
C053,CI/CD with GitHub Actions,"Automate software delivery: workflow files, testing pipelines, deployment automation, and release management.",DevOps,Beginner,"devops, linux, ci-cd",75.2,Michael O'Brien,3.6
C054,Infrastructure as Code,"Manage infrastructure with Terraform, CloudFormation, and Pulumi: state management, modules, and best practices.",DevOps,Intermediate,"docker, ci-cd, linux, kubernetes",24.0,David Kim,4.4
C055,Monitoring and Observability,"System health tracking with Prometheus, Grafana, ELK stack, distributed tracing, and alerting strategies.",DevOps,Intermediate,"linux, kubernetes",21.6,Prof. James Miller,4.6
